"Collection Name","Title#1","Name#1","Name Role Term Text#1","Name URI#1","Name#2","Name Role Term Text#2","Name URI#2","Name#3","Name Role Term Text#3","Name URI#3","Name#4","Name URI#4","Name#5","Name URI#5","Name#6","Name Role Term Text#6","Name URI#6","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Place Created#1","Publisher#1","Date Created#1","Publisher#2","Publisher#3","Publisher#4","Language Term#1","Language Term URI#1","Language Term Type#1","Extent#1","Form#1","Form URI#1","Abstract#1","Note#1","Note Type#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Name#1","Subject Name URI#1","Subject Name#2","Subject Name URI#2","Subject Name#3","Subject Name URI#3","Subject Geographic#1","Subject Geographic URI#1","Subject Title#1","Subject Title URI#1","Identifier#1","Identifier ARK#1","Physical Location#1","Shelf Locator#1","Date Captured#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"National Farmers Union Collection","A New Day in Agriculture","Minnesota Farmers Union","","http://id.loc.gov/authorities/names/n82035714","Humphrey, Hubert H., 1942-","","http://id.loc.gov/authorities/names/n86828402","Dechant, Tony T.","","local","Anderson, Wendell","local","Humphrey, Hubert H. (Hubert Horatio), 1911-1978","http://id.loc.gov/authorities/names/n79026910","","","","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","Promotional films","http://id.loc.gov/authorities/genreForms/gf2011026470","","Minnesota Farmers Union","1972","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 film reel (16mm) (31 min., 26 sec.)","color film (film, material)","http://vocab.getty.edu/page/aat/300127340","Producer, Minnesota Farmers Union. New Day Minnesota, and Sports Films and Talents, Inc. Promotional film about the Minnesota Farmers Union, with footage of Cenex gas stations, farm equipment, and fertilizer products; a GTA co-op silo; pigs and cattle; aerial views of large buildings and shipping boats; and a GTA Insurance store front. Activities include union members attending major league baseball game; young people at summer camp hearing speeches by NFU leaders and doing recreational activities; animals at state fair with turkey race; womens' group gathered at airport for lobbying trip to capitol; and farm report delivered on radio. Includes footage of Midwest Conference on Food Policy, with speeches by NFU president Tony T. Dechant, Governer Wendell Anderson, and then-Senator Hubert Humphrey.","00:00:00 Midwest Conference on Food Policy. 00:00:31 Message from Tony T. Dechant, President of the National Farmers Union. 00:01:43 Cenex ""farm supplies"" gas station introduction. 00:02:48 Farm operations. 00:05:50 Farmers Union Grain Terminal Assocation (GTA) Farmers Co-Op introduction. 00:07:42 GTA board meeting. 00:09:57 Great Plains Supply (GPS) description. 00:10:10 Livestock segment. 00:13:00 National Farmers Union Insurance description. 00:14:58 Family agriculture. 00:17:15 Farmers Union Youth Summer camp. 00:22:07 Women involvement. 00:24:04 Farmers Union communication methods. 00:26:09 Farmers Union recreational activities. 00:28:12 Concluding remarks on farmlife. 00:31:26 End of recording.","Timecode description","Nutrition policy","http://id.loc.gov/authorities/subjects/sh85093473","Agricultural systems","http://id.loc.gov/authorities/subjects/sh85002407","","","","","","","","","Minnesota (United States, North America) (state)","http://vocab.getty.edu/page/tgn/7007521","","","U183050937671_narv_nfu_22_newDayAgriculture_a.mp4","https://ark.colorado.edu/ark:/47540/fj748d66m9rj","University of Colorado Boulder Libraries Rare and Distinctive Collections","Reel 22","2023","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","28","1247740","5284","U183050937671_narv_nfu_22_newDayAgriculture_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~38~38~28~1247740"
"National Farmers Union Collection","Bergland, Bob (National Rural Electrification Cooperative), NFU Convention","Bergland, Bob, 1928-2018","","http://id.loc.gov/authorities/names/n86114533","Carpenter, Cy","","local","National Farmers Organization (U.S.)","","http://id.loc.gov/authorities/names/n85078900","","","","","","","","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","Speeches","https://id.loc.gov/authorities/genreForms/gf2011026363","","","1987","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 videocassette (VHS) (44 min., 42 sec.)","color film (film, material)","http://vocab.getty.edu/page/aat/300127370","Footage from 1987 National Farmers Union Convention. Includes speech by Bob Bergland, Executive Vice President and General Manager of the National Rural Electric Cooperative Association, with introduction by NFU President Cy Carpenter.","00:00:00 Convention introduction by NFU President Cy Carpenter. 00:02:56 Speech by Bob Bergland, Executive Vice President and General Manager of the National Rural Electric Cooperative Association. 00:44:20 End of recording.","Timecode description","Congresses and conventions","http://id.worldcat.org/fast/875219","","","","","","","","","","","","","","","U183071299737_narv_nfu_21-6_bobBerglandConvention_a.mp4","https://ark.colorado.edu/ark:/47540/fz961849g74p","University of Colorado Boulder Libraries Rare and Distinctive Collections","Tape 21-6","2023","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","64","1247678","5284","U183071299737_narv_nfu_21-6_bobBerglandConvention_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~38~38~64~1247678"
"National Farmers Union Collection","Bieber, Owen and Georgia Agriculture Commissioner, NFU Convention","National Farmers Organization (U.S.)","","http://id.loc.gov/authorities/names/n85078900","Carpenter, Cy","","local","Irwin, Thomas","","local","Bieber, Owen","local","","","","","","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","Speeches","https://id.loc.gov/authorities/genreForms/gf2011026363","","","1987","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 videocassette (VHS) (1 hr., 3 min., 9 sec.)","color film (film, material)","http://vocab.getty.edu/page/aat/300127349","Footage from 1987 National Farmers Union Convention. Includes speeches by Thomas Irwin, Georgia Agriculture Commissioner, and Owen Bieber, President of United Auto Workers, with introduction by NFU President Cy Carpenter","00:00:00 Introduction of Thomas Irwin, Georigia Agriculture Commissioner by NFU President Cy Carpenter. 00:01:25 Speech from Thomas Irwin. 00:29:06 Convention crowd sings song number 16 together. 00:32:50 Owen Bieber, President of United Auto Workers speech. 01:02:51 End of recording.","Timecode description","Speech","http://id.loc.gov/authorities/subjects/sh85126434","","","","","","","","","","","Georgia (United States, North America) (state)","http://vocab.getty.edu/page/tgn/7007248","","","U183071299842_narv_nfu_21-2_thomasIrvinOwenBieberConvention_a.mp4","https://ark.colorado.edu/ark:/47540/8b8x1p83m4zs","University of Colorado Boulder Libraries Rare and Distinctive Collections","Tape 21-2","2023","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","60","1247673","5284","U183071299842_narv_nfu_21-2_thomasIrvinOwenBieberConvention_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~38~38~60~1247673"
"National Farmers Union Collection","CARE: 40 Years of Caring","","","","","","","","","","","","","","","","","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","Promotional films","http://id.loc.gov/authorities/genreForms/gf2011026470","","Pariseau/Edwards Associates","1986-05-06","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 videocassette (VHS) (19 min., 41 sec.)","black-and-white film (film, material)","http://vocab.getty.edu/aat/300127345","Producer, Pariseau/Edwards Associates. Promotional film about the history of The Cooperative for American Remittances to Europe (CARE) - later CARE International - a collaboration of American charitable, civic, and labor organizations to provide hunger relief to Europeans affected by World War II. Explains development of further international hunger and agriculture initiatives. Features compiled archival footage and music from many sources, with voiceover narration.","00:00:00 ""Forty Years of Caring"" introduction photographs. 00:01:10 CARE packages impact to provide hunger relief to Europeans affected by World War II. 00:02:09 President Truman putting CARE into act and the formation of CARE. 00:07:00 New technologies of the 1960's. 00:08:55 CARE continuing to provide in the 70's. 00:12:17 Creation of new wealth. 00:19:00 Concluding postive impacts of CARE. 00:19:41 End of recording.","Timecode description","Agriculture","http://id.loc.gov/authorities/subjects/sh85002415","Charitable contributions","http://id.loc.gov/authorities/subjects/sh99004967","","","World War Two","http://id.loc.gov/authorities/names/n94084559","Truman, Harry S., 1884-1972","http://id.loc.gov/authorities/names/n79029742","The Cooperative for American Remittances to Europe (CARE)","local","","","","","U183071299884_narv_nfu_20-2_careFortyYearsOfCaring_a.mp4","https://ark.colorado.edu/ark:/47540/bx4h7f38p5db","University of Colorado Boulder Libraries Rare and Distinctive Collections","Tape 20-2","2023","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","52","1247669","5284","U183071299884_narv_nfu_20-2_careFortyYearsOfCaring_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~38~38~52~1247669"
"National Farmers Union Collection","Dechant, Tony, Remembrance (Washington D.C)","National Farmers Organization (U.S.)","","http://id.loc.gov/authorities/names/n85078900","","","","","","","","","","","","","","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","commemorations (events)","http://vocab.getty.edu/page/aat/300214143","","","1990-09-19","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 videocassette (VHS) (1 hr., 42 min., 52 sec.)","color film (film, material)","http://vocab.getty.edu/page/aat/300127349","Memorial service for former National Farmers Union President Tony Dechant in Washington, D.C. Features multiple speakers.","00:00:00 Rememberance service begins with piano playing. 00:01:30 Invitation prayer. 00:04:45 Vice President of National Farmers Union speech on the professional career of Tony Dechant. 00:10:30 President of National Farmers Union speaks on Dechant's impact. 00:15:10 Chairman of National Farmers Union speaks. 00:20:00 National Farmers Union woman speaks upon her postive experiences with Dechant. 00:23:30 Former Farmer's Union member reflects on his past experiences with Dechant. 00:27:49 Former co-workers speaks upon his time with Dechant. 00:30:05 Dechant's best friend speech. 00:34:32 Eulogy is read. 00:40:15 Co-worker speaks upon her time with Dechant. 00:43:30 Fellow Farmers Union member reflects on Dechant's life. 00:48:08 Co-worker of Dechant speech. 00:52:30 Woman speaks about Dechant's educational impact. 00:56:42 Friends shares memories of Dechant. 00:59:45 Fellow Consumer Information Committee member speaks about Dechant. 01:05:20 Woman reads postive messages received about Dechant. 01:08:03 Montana member reads addtional messages. 01:15:04 National Farmers Union Member speech remebering Dechant. 01:23:43 Piano plays to conclude service. 01:28:35 Man talks about the end of Dechant's life. 01:42:35 End of recording.","Timecode description","Memorial service","http://id.loc.gov/authorities/subjects/sh85083491","","","","","Dechant, Tony","local","","","","","Washington (District of Columbia, United States, North America) (inhbaited place)","http://vocab.getty.edu/page/tgn/7013962","","","U183071299614_narv_nfu_22-6_tonyDechantRemembrance_a.mp4","https://ark.colorado.edu/ark:/47540/pt3m693131mr","University of Colorado Boulder Libraries Rare and Distinctive Collections","Tape 22-6","2023","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","70","1247688","5284","U183071299614_narv_nfu_22-6_tonyDechantRemembrance_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~38~38~70~1247688"
"National Farmers Union Collection","Doesn't have a dime","Senior Community Service Employment Program (U.S.)","","http://id.loc.gov/authorities/names/no94039523","National Council of Senior Citizens","","http://id.loc.gov/authorities/names/n50065532","Hunter, Marvin","","local","Wingert, Vicky","local","","","","","","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","Promotional films","http://id.loc.gov/authorities/genreForms/gf2011026470","","Rosemary Anderson","Undated","Scott Anderson Productions","Victoria Films","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 film reel (16mm) (23 min., 49 sec.)","color film (film, material)","http://vocab.getty.edu/page/aat/300127340","Title from film container. May be alternately titled ""A Working Program."" Producer, Rosemary Anderson, Victoria Films/Scott Anderson Productions. Director, Vicky Wingert. Narrator, Marvin Hunter. Promotional film describing job trianing and placement programs for older American workers. End card reads ""Made possible by Green Thumb, National Council of Senior Citizens, National Retired Teachers Association, and AARP, as part of Title V of the Older Americans Act US Department of Labor."" See ""Version 3,"" Green Thumb records, film reel 15.","00:00:00 Older individuals preforming everyday tasks. 00:00:56 Older men and women expressing passion for work while showing them preform working tasks. 00:02:04 Narrator expands upon elderly Americans joining the workforce. 00:02:30 Senator Kenneth Roed speaks to support this cause. 00:02:58 Narrator speaks about the. Senior Community Service Employment Program (SCSEP). 00:05:49 Veterans Administration Medical Center in Bay Pines, Florida demostration of successful service. 00:08:30 El Paso city offical Dawn Garcia comments on the psychological benefits of the elderly population working. 00:09:11 Traditional Counselors Mescalero, New Mexico tribal elders working with young children. 00:17:30 New York City testimonies from elderly workers. 00:19:22 Tax paying labor force description from narrator. 00:20:51 Commisoner Stanley Brezenoff of the New York Department of Human Resources message. 00:22:23 Concluding testimonies from various workers impacted by this program. 00:23:15 Ending credits. 00:23:49 End of recording.","Timecode description","Older people--Employment--United States","http://id.loc.gov/authorities/subjects/sh2008108571","Work environment","http://id.loc.gov/authorities/subjects/sh85148146","","","","","","","","","","","","","U183050937045_narv_nfu_21_doesntHaveDime_a.mp4","https://ark.colorado.edu/ark:/47540/8x9r8f77m43n","University of Colorado Boulder Libraries Rare and Distinctive Collections","Reel 21","2023","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","27","1247752","5284","U183050937045_narv_nfu_21_doesntHaveDime_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~38~38~27~1247752"
"National Farmers Union Collection","Doesn't Have a Dime, version 3","Brooks, Victoria (Film producer)","","http://id.loc.gov/authorities/names/no2019018589","National Council of Senior Citizens","","http://id.loc.gov/authorities/names/n50065532","","","","","","","","","","","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","Promotional films","http://id.loc.gov/authorities/genreForms/gf2011026470","","Rosemary Anderson, Victoria Films/Scott Anderson Productions","[1970?]","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 film reel (16mm) (27 min., 36 sec.)","color film (film, material)","http://vocab.getty.edu/page/aat/300127341","Title from film container. May be alternately titled ""A Working Program."" Producer, Rosemary Anderson, Victoria Films/Scott Anderson Productions. Director, Vicky Wingert. Narrator, Marvin Hunter. Promotional film describing job trianing and placement programs for older American workers. End card reads ""Made possible by Green Thumb, National Council of Senior Citizens, National Retired Teachers Association, and AARP, as part of Title V of the Older Americans Act US Department of Labor."" See alternative version, National Farmers Union records, film reel 21.","00:00:00 Older individuals preforming everyday tasks. 00:00:56 Older men and women expressing passion for work while showing them preform working tasks. 00:02:04 Narrator expands upon elderly Americans joining the workforce. 00:02:30 Senator Kenneth Roed speaks to support this cause. 00:02:58 Narrator speaks about the. Senior Community Service Employment Program (SCSEP). 00:05:49 Veterans Administration Medical Center in Bay Pines, Florida demostration of successful service. 00:08:30 El Paso city offical Dawn Garcia comments on the psychological benefits of the elderly population working. 00:09:11 Traditional Counselors Mescalero, New Mexico tribal elders working with young children. 00:17:30 New York City testimonies from elderly workers. 00:19:22 Tax paying labor force description from narrator. 00:20:51 Commisoner Stanley Brezenoff of the New York Department of Human Resources message. 00:22:23 Concluding testimonies from various workers impacted by this program. 00:23:15 Ending credits. 00:27:36 End of recording.","Timecode description","Older people--Employment--United States","http://id.loc.gov/authorities/subjects/sh2008108571","Older people","http://id.loc.gov/authorities/subjects/sh85002087","","","","","","","","","","","","","U183050936950_narv_greenThumb_doesntHaveADimeVersion3_a.mp4","https://ark.colorado.edu/ark:/47540/kx5c6f82q7s0","University of Colorado Boulder Libraries Rare and Distinctive Collections","Reel 15","2023","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","17","1247754","5284","U183050936950_narv_greenThumb_doesntHaveADimeVersion3_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~38~38~17~1247754"
"National Farmers Union Collection","Earth tomorrow","Japanese Farmers Association","","local","Carpenter, Cy","","local","","","","","","","","","","","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","Sponsored films","https://id.loc.gov/authorities/genreForms/gf2011026599","","","1983","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 film reel (16mm) (12min., 08sec.)","color film (film, material)","http://vocab.getty.edu/page/aat/300127339","Japanese Farmers Association. Subtitle possibly translates to ""Liberalization Emergency Report."" Japanese language film. Includes footage of National Farmer Union President Cy Carpenter in meetings, conference, and interview settings, with images of agricultural images.","","Timecode description","Conference papers and proceedings","http://id.worldcat.org/fast/1423772","","","","","","","","","","","","","","","U183051007869_narv_nfu_06_earthTomorrow_a.mp4","https://ark.colorado.edu/ark:/47540/j16v8037r6j4","University of Colorado Boulder Libraries Rare and Distinctive Collections","Reel 06","2023","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","8","1247730","5284","U183051007869_narv_nfu_06_earthTomorrow_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~38~38~8~1247730"
"National Farmers Union Collection","Experience Works","","","","","","","","","","","","","","","","","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","Promotional films","http://id.loc.gov/authorities/genreForms/gf2011026470","","Green Thumb Inc.,","1993","Forsight Inc.","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 videocassette (VHS) (11 min., 14 sec.)","color film (film, material)","http://vocab.getty.edu/page/aat/300127366","Producer, Green Thumb Inc., Forsight Inc. Promotional film for Experience Works job training and placement program, aimed toward businesses and organizations to hire workers through the Experience Works/Green Thumb program.","00:00:00 Promotional message for ""Experience Works!"" the Green Thumb employment training. 00:00:36 Why the program is successful. 00:02:00 Green Thumb explained. 00:03:30 Testimonial from Dan Hartman. 00:04:09 Alice Kohler testimonial about Green Thumb workers. 00:04:25 Marcia Harris Director of Rehabilitation Center testimonial about Green Thumb workers. 00:04:49 W. Parrise Hughs with the Y.M.C.A. testimonial about Green Thumb workers. 00:05:37 How the program works. 00:06:09 Jeff Lauderback speaks about the program. 00:06:36 Janice Stapleton and Rose Kennedy talks about their experience in the program. 00:07:30 Program operations explained. 00:09:00 Final advice and conclusion from individuals. 00:11:14 End of recording.","Timecode description","Older people--Employment--United States","http://id.loc.gov/authorities/subjects/sh2008108571","National Employ the Older Worker Week","http://id.loc.gov/authorities/subjects/sh91005506","","","","","","","","","","","","","U183071299185_narv_greenThumb_experienceWorks_a.mp4","https://ark.colorado.edu/ark:/47540/4g5w7t89g12h","University of Colorado Boulder Libraries Rare and Distinctive Collections","Tape 20-08","2023","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","47","1247705","5284","U183071299185_narv_greenThumb_experienceWorks_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~38~38~47~1247705"
"National Farmers Union Collection","Farm Bill hearing, testimony of Lee Swenson","United States. Congress. House. Committee on Agriculture","","http://id.loc.gov/authorities/names/n81093140","Swenson, Lee","","http://id.loc.gov/authorities/names/n88640845","Kleckner, Dean Ralph","","http://id.loc.gov/authorities/names/n96058018","Sanner, Harvey Joe","local","Stremlau, Kenneth","local","Parker, Alice","local","local","Moving image","http://id.loc.gov/vocabulary/resourceTypes/mov","Speeches","https://id.loc.gov/authorities/genreForms/gf2011026363","","C-SPAN (Television network)","1989-07-12","","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","1 videocassette (VHS) (2 hr. 2 min., 57 sec.)","color film (film, material)","http://vocab.getty.edu/page/aat/300127350","Recorded from C-SPAN Broadcast. Coverage of House Agriculture Committee 1990 Farm Bill hearing testimony, Rayburn Office Building in Washington D.C. Includes testimony from Dean Kleckner, President of the American Farm Bureau; Leland Swenson, President of the NFU; Harvey Joe Sanner, President of the American Agriculture Movement; Kenneth Stremlau, President of Illinois Farmers Union, and Alice Parker, President of the Women Involved In Farm Economics.","00:00:00 Narrarators introduction of the Farm Bill hearing before coverage. 00:00:43 Inside the courtroom introduction from Rep. Kika de la Garza, Texas committee chairman. 00:08:58 Testimony from Dean Kleckner, President of the American Farm Bureau. 00:16:49 Testimony from Leland Swenson, President of the NFU. 00:25:53 Testimony from Harvey Joe Sanner, President of the American Agriculture Movement. 00:32:30 Testimony from Kenneth Stremlau, President of Illinois Farmers Union. 00:44:18 Questions about family farming asked by Texas Rep. Charles Stenholm. 00:45:37 Response from Leland Swenson. 00:45:13 Texas Rep. Charles Stenholm asks for further defining of allocation of bushels. 00:48:15 Response from Leland Swenson. 00:49:15 Question from George Brown Jr. California Representative. 00:50:35 Response from Kenneth Stremlau. 00:54:28 Question from Montana Representative Ron Marlenee. 00:58:31 Response from Leland Swenson. 01:02:00 Question from Oregon Rep. Robert Smith. 01:03:18 Response from Leland Swenson. 01:08:00 Question from Louisiana Rep. Jerry Huckaby. 01:09:00 Response from Leland Swenson. 01:44:04 Alice Parker, Women involved in farm economic president testimony. 01:52:10 Question from Charles Stenholm Texas Representative. 01:53:30 Response from Legislative Director National Grange, Robert Frederick. 01:56:00 Response from Helen Waller, Chairperson in Agriculture Policy. 02:02:57 End of recording.","Timecode description","Legislative conference committees","http://id.loc.gov/authorities/subjects/sh85075829","Testimony (Theory of knowledge)","http://id.loc.gov/authorities/subjects/sh2010015469","","","","","","","","","Washington (District of Columbia, United States, North America) (inhbaited place)","http://vocab.getty.edu/page/tgn/7013962","1990 Farm Bill Forum (1989 : Billings, Mont.)","http://id.loc.gov/authorities/names/n89130652","U183071299606_narv_nfu_22-1_farmBillHearingTestimony_a.mp4","https://ark.colorado.edu/ark:/47540/ch525p2598cq","University of Colorado Boulder Libraries Rare and Distinctive Collections","Tape 22-1","2023","video/mp4","https://www.iana.org/assignments/media-types/video/mp4","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","66","1247689","5284","U183071299606_narv_nfu_22-1_farmBillHearingTestimony_a.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~38~38~66~1247689"
